Depth (m),AF (mT),x (emu),y (emu),z (emu)
0.8531,20,-1.56E-06,6.98E-07,1.24E-05
0.8531,25,-1.19E-06,4.41E-07,1.05E-05
0.8531,30,-1.23E-06,1.83E-07,8.50E-06
0.8531,35,-1.27E-06,4.54E-07,6.55E-06
0.8531,40,-1.32E-06,7.25E-07,5.63E-06
0.8531,45,-1.15E-06,9.96E-07,4.71E-06
0.8531,50,-9.90E-07,1.28E-06,3.79E-06
0.8531,60,-8.25E-07,1.56E-06,3.56E-06
0.8531,70,-9.59E-07,1.84E-06,3.32E-06
0.8531,80,-1.10E-06,1.58E-06,3.08E-06
0.8531,90,-1.38E-06,1.05E-06,3.76E-06
0.8531,100,6.60E-07,7.85E-07,4.10E-06
0.9051,0,1.95E-06,-4.56E-06,7.91E-05
0.9051,2.5,1.84E-06,-3.70E-06,7.15E-05
0.9051,5,1.56E-06,-4.61E-06,5.82E-05
0.9051,7.5,1.53E-06,-2.37E-06,4.93E-05
0.9051,10,1.17E-06,-4.43E-06,4.21E-05
0.9051,12.5,7.64E-07,-4.14E-06,3.69E-05
0.9051,15,9.80E-07,-2.62E-06,3.38E-05
0.9051,17.5,4.80E-07,-3.37E-06,3.00E-05
0.9051,20,1.08E-06,-3.15E-06,2.80E-05
0.9051,25,8.87E-07,-2.38E-06,2.40E-05
0.9051,30,8.05E-07,-1.62E-06,2.00E-05
0.9051,35,7.23E-07,-1.27E-06,1.61E-05
0.9051,40,6.41E-07,-9.12E-07,1.45E-05
0.9051,45,2.63E-07,-5.59E-07,1.30E-05
0.9051,50,-1.15E-07,-5.98E-07,1.15E-05
0.9051,60,-4.93E-07,-6.38E-07,9.56E-06
0.9051,70,-5.17E-07,-6.78E-07,7.63E-06
0.9051,80,-5.42E-07,-6.19E-07,5.70E-06
0.9051,90,-5.66E-07,-5.61E-07,4.08E-06
0.9051,100,2.81E-06,-5.02E-07,2.45E-06
0.9311,0,2.53E-06,-6.95E-07,6.56E-05
0.9311,2.5,2.07E-06,-1.86E-06,5.75E-05
0.9311,5,1.76E-06,-5.99E-07,4.58E-05
0.9311,7.5,1.10E-06,-3.01E-06,3.82E-05
0.9311,10,7.73E-07,-2.76E-06,3.26E-05
0.9311,12.5,7.27E-07,-3.27E-06,2.90E-05
0.9311,15,7.99E-07,-1.90E-06,2.66E-05
0.9311,17.5,2.08E-07,-2.89E-06,2.48E-05
0.9311,20,5.71E-07,-2.40E-06,2.34E-05
0.9311,25,1.17E-07,-2.11E-06,2.06E-05
0.9311,30,-1.90E-07,-1.83E-06,1.77E-05
0.9311,35,-4.96E-07,-1.05E-06,1.49E-05
0.9311,40,-8.03E-07,-2.69E-07,1.37E-05
0.9311,45,-1.16E-06,5.10E-07,1.25E-05
0.9311,50,-1.51E-06,3.38E-07,1.14E-05
0.9311,60,-1.87E-06,1.66E-07,9.79E-06
0.9311,70,-1.90E-06,-6.93E-09,8.22E-06
0.9311,80,-1.94E-06,-3.09E-08,6.64E-06
0.9311,90,-2.02E-06,-9.56E-08,4.61E-06
0.9311,100,2.23E-06,-1.36E-07,3.60E-06
0.9811,0,8.37E-06,-1.81E-06,3.57E-05
0.9811,2.5,6.56E-06,-1.80E-06,2.98E-05
0.9811,5,5.83E-06,-1.56E-06,2.18E-05
0.9811,7.5,5.31E-06,-1.16E-06,1.74E-05
0.9811,10,4.92E-06,-1.46E-06,1.43E-05
0.9811,12.5,4.62E-06,-8.99E-07,1.29E-05
0.9811,15,4.54E-06,-1.16E-06,1.12E-05
0.9811,17.5,3.50E-06,-1.16E-06,1.04E-05
0.9811,20,3.54E-06,-6.32E-07,9.73E-06
0.9811,25,3.16E-06,-6.38E-07,8.41E-06
0.9811,30,2.67E-06,-6.44E-07,7.09E-06
