Depth (m),AF (mT),x (emu),y (emu),z (emu)
2.3671,15,-2.17E-06,1.41E-07,1.86E-06
2.3671,17.5,-2.18E-06,9.56E-08,1.58E-06
2.3671,20,-1.90E-06,5.68E-07,1.05E-06
2.3671,25,-2.04E-06,6.80E-07,1.84E-07
2.3671,30,-1.72E-06,7.92E-07,-6.80E-07
2.3671,35,-1.41E-06,9.82E-07,-1.54E-06
2.3671,40,-1.10E-06,1.17E-06,-1.70E-06
2.3671,45,-1.02E-06,1.36E-06,-1.86E-06
2.3671,50,-9.50E-07,1.36E-06,-2.02E-06
2.3671,60,-8.77E-07,1.37E-06,-1.89E-06
2.3671,70,-7.44E-07,1.37E-06,-1.75E-06
2.3671,80,-6.11E-07,8.88E-07,-1.62E-06
2.3671,90,-4.79E-07,4.08E-07,-1.56E-06
2.3671,100,2.40E-06,-7.17E-08,-1.51E-06
2.3931,0,8.66E-07,5.36E-07,1.70E-05
2.3931,2.5,6.67E-07,8.09E-07,1.18E-05
2.3931,5,5.48E-07,5.92E-07,7.66E-06
2.3931,7.5,4.72E-07,6.86E-07,5.32E-06
2.3931,10,4.58E-07,8.99E-07,3.21E-06
2.3931,12.5,8.59E-07,5.45E-07,2.34E-06
2.3931,15,6.70E-07,7.57E-07,1.33E-06
2.3931,17.5,7.86E-07,1.35E-06,5.34E-07
2.3931,20,1.18E-06,6.81E-07,-6.24E-08
2.3931,25,8.29E-07,8.20E-07,-1.09E-06
2.3931,30,6.21E-07,9.59E-07,-2.11E-06
2.3931,35,4.12E-07,1.17E-06,-3.14E-06
2.3931,40,2.04E-07,1.38E-06,-3.16E-06
2.3931,45,3.06E-07,1.59E-06,-3.19E-06
2.3931,50,4.09E-07,1.63E-06,-3.21E-06
2.3931,60,5.11E-07,1.67E-06,-2.77E-06
2.3931,70,4.24E-07,1.72E-06,-2.33E-06
2.3931,80,3.36E-07,1.51E-06,-1.89E-06
2.3931,90,2.49E-07,1.30E-06,-2.60E-06
2.3931,100,1.25E-06,1.09E-06,-3.31E-06
2.4461,0,2.75E-07,2.63E-07,1.28E-05
2.4461,2.5,-3.44E-08,8.44E-07,6.34E-06
2.4461,5,2.12E-07,3.63E-07,5.58E-07
2.4461,7.5,7.50E-07,9.43E-08,-2.53E-06
2.4461,10,5.60E-07,1.43E-07,-4.28E-06
2.4461,12.5,3.91E-07,-1.98E-07,-5.43E-06
2.4461,15,9.61E-09,1.23E-07,-5.75E-06
2.4461,17.5,5.43E-08,4.43E-07,-6.07E-06
2.4461,20,9.91E-08,5.96E-07,-6.40E-06
2.4461,25,1.44E-07,7.49E-07,-6.50E-06
2.4461,30,-3.81E-07,9.02E-07,-6.60E-06
2.4461,35,-9.07E-07,1.13E-06,-6.70E-06
2.4461,40,-1.43E-06,1.35E-06,-6.55E-06
2.4461,45,-1.58E-06,1.57E-06,-6.40E-06
2.4461,50,-1.72E-06,1.69E-06,-6.25E-06
2.4461,60,-1.87E-06,1.81E-06,-5.43E-06
2.4461,70,-1.68E-06,1.93E-06,-4.61E-06
2.4461,80,-1.48E-06,1.65E-06,-3.79E-06
2.4461,90,-1.29E-06,1.37E-06,-3.49E-06
2.4461,100,1.06E-06,1.09E-06,-3.19E-06
2.4711,0,5.37E-06,-2.41E-07,2.13E-05
2.4711,2.5,5.19E-06,9.10E-07,1.06E-05
2.4711,5,5.64E-06,1.23E-06,4.56E-07
2.4711,7.5,5.79E-06,1.34E-06,-4.63E-06
2.4711,10,6.19E-06,1.25E-06,-7.50E-06
2.4711,12.5,5.77E-06,8.26E-07,-9.37E-06
2.4711,15,5.45E-06,1.26E-06,-9.98E-06
2.4711,17.5,4.52E-06,8.64E-07,-1.03E-05
2.4711,20,5.26E-06,1.73E-06,-1.04E-05
2.4711,25,4.84E-06,1.82E-06,-1.02E-05
2.4711,30,4.32E-06,1.91E-06,-1.01E-05
2.4711,35,3.79E-06,2.13E-06,-9.93E-06
2.4711,40,3.27E-06,2.35E-06,-8.70E-06
2.4711,45,3.08E-06,2.57E-06,-7.47E-06
2.4711,50,2.89E-06,2.31E-06,-6.24E-06
2.4711,60,2.70E-06,2.04E-06,-4.25E-06
2.4711,70,2.06E-06,1.78E-06,-2.26E-06
2.4711,80,1.42E-06,1.80E-06,-2.65E-07
2.4711,90,7.76E-07,1.82E-06,-2.91E-06
2.4711,100,3.95E-06,1.84E-06,-5.54E-06
2.5231,0,4.73E-06,4.08E-06,4.89E-05
2.5231,2.5,5.13E-06,3.48E-06,4.17E-05
2.5231,5,5.43E-06,3.00E-06,3.32E-05
2.5231,7.5,5.35E-06,2.31E-06,2.83E-05
2.5231,10,4.59E-06,1.60E-06,2.41E-05
2.5231,12.5,4.84E-06,2.83E-06,2.20E-05
2.5231,15,4.07E-06,1.76E-06,2.04E-05
2.5231,17.5,3.38E-06,2.25E-06,1.92E-05
2.5231,20,4.15E-06,1.92E-06,1.76E-05
2.5231,25,2.35E-06,1.71E-06,1.57E-05
2.5231,30,1.90E-06,1.50E-06,1.38E-05
2.5231,35,1.45E-06,1.44E-06,1.18E-05
2.5231,40,1.00E-06,1.39E-06,1.12E-05
2.5231,45,2.55E-07,1.33E-06,1.06E-05
2.5231,50,-4.95E-07,1.34E-06,9.91E-06
2.5231,60,-1.25E-06,1.35E-06,8.45E-06
2.5231,70,-1.51E-06,1.36E-06,6.98E-06
2.5231,80,-1.77E-06,1.08E-06,5.52E-06
2.5231,90,-2.04E-06,8.05E-07,4.33E-06
2.5231,100,1.31E-06,5.25E-07,3.14E-06
2.5481,0,3.25E-07,2.44E-06,5.24E-05
2.5481,2.5,-1.03E-06,1.33E-06,4.30E-05
2.5481,5,-2.01E-06,1.88E-06,3.27E-05
2.5481,7.5,-2.70E-06,1.72E-08,2.71E-05
2.5481,10,-3.82E-06,-4.28E-08,2.25E-05
2.5481,12.5,-5.00E-06,-1.55E-06,1.90E-05
2.5481,15,-4.82E-06,-1.10E-06,1.91E-05
2.5481,17.5,-4.43E-06,-1.46E-06,1.68E-05
2.5481,20,-3.32E-06,-1.60E-06,1.59E-05
2.5481,25,-3.36E-06,6.73E-08,1.31E-05
2.5481,30,-3.32E-06,1.74E-06,1.02E-05
2.5481,35,-3.28E-06,1.69E-06,7.29E-06
2.5481,40,-3.23E-06,1.64E-06,6.10E-06
2.5481,45,-4.14E-06,1.59E-06,4.91E-06
2.5481,50,-5.05E-06,2.48E-06,3.71E-06
2.5481,60,-5.97E-06,3.38E-06,2.47E-06
2.5481,70,-4.85E-06,4.27E-06,1.23E-06
2.5481,80,-3.74E-06,4.74E-06,-1.39E-08
2.5481,90,-2.63E-06,5.20E-06,1.54E-07
2.5481,100,-2.75E-06,5.67E-06,3.23E-07
2.6011,0,1.60E-06,-1.39E-06,1.33E-05
2.6011,2.5,9.69E-07,-1.22E-06,7.43E-06
2.6011,5,5.66E-07,-1.18E-06,1.80E-06
2.6011,7.5,7.90E-07,-1.39E-06,-1.26E-06
2.6011,10,1.16E-06,-1.53E-06,-3.81E-06
2.6011,12.5,1.01E-06,-4.10E-07,-4.79E-06
2.6011,15,1.01E-06,-7.26E-07,-5.59E-06
2.6011,17.5,5.00E-07,-7.13E-07,-5.98E-06
2.6011,20,1.90E-06,-7.25E-07,-6.60E-06
2.6011,25,1.82E-06,-8.43E-07,-6.86E-06
2.6011,30,1.44E-06,-9.62E-07,-7.12E-06
2.6011,35,1.06E-06,-1.02E-06,-7.39E-06
2.6011,40,6.76E-07,-1.07E-06,-7.29E-06
2.6011,45,2.25E-07,-1.12E-06,-7.18E-06
2.6011,50,-2.26E-07,-8.40E-07,-7.08E-06
2.6011,60,-6.77E-07,-5.59E-07,-6.01E-06
2.6011,70,-7.37E-07,-2.77E-07,-4.95E-06
2.6011,80,-7.97E-07,-2.38E-07,-3.88E-06
2.6011,90,-8.57E-07,-2.00E-07,-3.02E-06
2.6011,100,2.22E-06,-1.61E-07,-2.15E-06
2.6801,0,3.76E-06,-2.97E-06,9.96E-06
2.6801,2.5,3.24E-06,-2.20E-06,3.85E-06
2.6801,5,3.01E-06,-2.72E-06,-1.93E-06
2.6801,7.5,2.75E-06,-2.47E-06,-5.32E-06
2.6801,10,2.18E-06,-2.76E-06,-7.32E-06
2.6801,12.5,2.35E-06,-2.81E-06,-8.50E-06
2.6801,15,1.99E-06,-2.80E-06,-9.17E-06
2.6801,17.5,1.15E-06,-2.12E-06,-9.48E-06
2.6801,20,1.58E-06,-3.21E-06,-9.44E-06
2.6801,25,9.31E-07,-2.52E-06,-9.83E-06
2.6801,30,5.79E-07,-1.84E-06,-1.02E-05
2.6801,35,2.26E-07,-1.68E-06,-1.06E-05
2.6801,40,-1.27E-07,-1.52E-06,-1.08E-05
2.6801,45,-7.22E-08,-1.35E-06,-1.11E-05
2.6801,50,-1.79E-08,-9.80E-07,-1.13E-05
2.6801,60,3.64E-08,-6.05E-07,-9.93E-06
2.6801,70,-3.78E-07,-2.31E-07,-8.53E-06
2.6801,80,-7.93E-07,2.29E-07,-7.14E-06
2.6801,90,-1.21E-06,6.88E-07,-6.27E-06
2.6801,100,1.29E-06,1.15E-06,-5.40E-06
2.7591,0,4.32E-06,4.77E-06,2.54E-05
2.7591,2.5,5.35E-06,3.55E-06,1.87E-05
2.7591,5,5.45E-06,3.20E-06,9.97E-06
2.7591,7.5,5.73E-06,2.79E-06,5.43E-06
2.7591,10,5.19E-06,2.61E-06,2.73E-06
2.7591,12.5,5.37E-06,2.72E-06,8.64E-07
2.7591,15,4.71E-06,2.18E-06,-9.92E-08
2.7591,17.5,4.69E-06,2.69E-06,-1.01E-06
2.7591,20,4.89E-06,2.63E-06,-1.70E-06
2.7591,25,3.77E-06,1.99E-06,-2.21E-06
2.7591,30,3.16E-06,1.35E-06,-2.71E-06
2.7591,35,2.56E-06,1.30E-06,-3.22E-06
2.7591,40,1.95E-06,1.25E-06,-3.33E-06
2.7591,45,1.57E-06,1.20E-06,-3.43E-06
2.7591,50,1.20E-06,5.96E-07,-3.54E-06
2.7591,60,8.24E-07,-8.27E-09,-3.37E-06
2.7591,70,9.04E-07,-6.13E-07,-3.19E-06
2.7591,80,9.84E-07,-2.27E-07,-3.01E-06
2.7591,90,1.06E-06,1.60E-07,-2.88E-06
2.7591,100,2.01E-06,5.46E-07,-2.75E-06
2.7861,0,5.13E-06,4.15E-07,2.60E-05
2.7861,2.5,4.49E-06,8.34E-07,1.92E-05
2.7861,5,4.35E-06,1.56E-06,1.13E-05
2.7861,7.5,4.43E-06,1.35E-06,7.13E-06
2.7861,10,4.06E-06,1.69E-06,4.15E-06
2.7861,12.5,3.59E-06,2.15E-06,2.76E-06
2.7861,15,3.67E-06,2.71E-06,1.58E-06
2.7861,17.5,2.96E-06,1.98E-06,1.16E-06
2.7861,20,3.00E-06,2.23E-06,6.93E-07
2.7861,25,3.00E-06,2.23E-06,-4.10E-07
2.7861,30,2.30E-06,2.22E-06,-1.51E-06
2.7861,35,1.61E-06,2.18E-06,-2.62E-06
2.7861,40,9.16E-07,2.13E-06,-2.65E-06
2.7861,45,5.36E-07,2.09E-06,-2.69E-06
2.7861,50,1.56E-07,1.92E-06,-2.72E-06
2.7861,60,-2.24E-07,1.75E-06,-2.48E-06
2.7861,70,-5.78E-07,1.57E-06,-2.24E-06
2.7861,80,-9.31E-07,1.09E-06,-2.00E-06
2.7861,90,-1.28E-06,6.01E-07,-1.56E-06
2.7861,100,2.26E-06,1.15E-07,-1.12E-06
2.8391,0,-1.16E-06,1.11E-06,2.98E-05
2.8391,2.5,-6.77E-07,2.31E-06,2.14E-05
2.8391,5,-2.83E-07,1.03E-06,1.40E-05
2.8391,7.5,-4.27E-08,9.00E-07,1.06E-05
2.8391,10,8.29E-08,8.43E-07,7.83E-06
2.8391,12.5,-8.54E-08,3.42E-07,6.62E-06
2.8391,15,-2.91E-07,1.06E-06,5.95E-06
2.8391,17.5,-1.11E-06,6.84E-07,5.07E-06
2.8391,20,-4.91E-07,9.67E-07,4.32E-06
2.8391,25,-1.58E-06,8.14E-07,3.03E-06
2.8391,30,-1.78E-06,6.61E-07,1.75E-06
2.8391,35,-1.98E-06,7.99E-07,4.62E-07
2.8391,40,-2.19E-06,9.37E-07,-2.16E-07
2.8391,45,-2.20E-06,1.07E-06,-8.94E-07
2.8391,50,-2.22E-06,1.07E-06,-1.57E-06
2.8391,60,-2.23E-06,1.06E-06,-1.03E-06
2.8391,70,-2.35E-06,1.05E-06,-4.85E-07
2.8391,80,-2.46E-06,1.05E-06,5.87E-08
2.8391,90,-2.57E-06,1.05E-06,-9.71E-08
2.8391,100,1.10E-06,1.05E-06,-2.53E-07
2.8661,0,9.95E-08,2.74E-06,2.16E-05
2.8661,2.5,7.52E-08,3.20E-06,1.44E-05
2.8661,5,1.55E-07,2.20E-06,8.98E-06
2.8661,7.5,3.49E-08,2.16E-06,5.70E-06
2.8661,10,3.52E-08,1.83E-06,3.28E-06
2.8661,12.5,5.84E-07,1.86E-06,1.69E-06
2.8661,15,1.53E-07,1.32E-06,8.51E-07
2.8661,17.5,-9.58E-08,1.12E-06,3.71E-07
2.8661,20,4.13E-07,1.44E-06,-6.87E-07
2.8661,25,-4.20E-07,1.66E-06,-1.43E-06
2.8661,30,-6.62E-07,1.88E-06,-2.16E-06
2.8661,35,-9.05E-07,1.89E-06,-2.90E-06
2.8661,40,-1.15E-06,1.89E-06,-2.90E-06
2.8661,45,-1.27E-06,1.90E-06,-2.90E-06
2.8661,50,-1.39E-06,1.77E-06,-2.89E-06
2.8661,60,-1.52E-06,1.64E-06,-2.87E-06
2.8661,70,-1.62E-06,1.51E-06,-2.84E-06
2.8661,80,-1.72E-06,1.15E-06,-2.81E-06
2.8661,90,-1.82E-06,7.82E-07,-2.90E-06
2.8661,100,1.81E-06,4.19E-07,-3.00E-06
2.9181,0,1.61E-06,-1.81E-06,3.96E-05
2.9181,2.5,1.77E-06,-2.12E-06,3.21E-05
2.9181,5,2.07E-06,-8.35E-07,2.61E-05
2.9181,7.5,2.07E-06,-1.85E-06,2.26E-05
2.9181,10,1.68E-06,-1.74E-06,2.03E-05
2.9181,12.5,1.93E-06,-1.87E-06,1.85E-05
2.9181,15,1.71E-06,-1.70E-06,1.74E-05
2.9181,17.5,9.33E-07,-9.72E-07,1.65E-05
2.9181,20,1.23E-06,-2.10E-06,1.55E-05
2.9181,25,4.28E-07,-1.98E-06,1.34E-05
2.9181,30,1.60E-07,-1.87E-06,1.14E-05
2.9181,35,-1.08E-07,-1.80E-06,9.28E-06
2.9181,40,-3.76E-07,-1.74E-06,8.28E-06
2.9181,45,-6.22E-07,-1.67E-06,7.27E-06
2.9181,50,-8.69E-07,-1.52E-06,6.26E-06
2.9181,60,-1.12E-06,-1.37E-06,5.66E-06
2.9181,70,-1.08E-06,-1.21E-06,5.06E-06
2.9181,80,-1.05E-06,-1.10E-06,4.46E-06
2.9181,90,-1.01E-06,-9.84E-07,3.47E-06
2.9181,100,5.41E-07,-8.70E-07,2.48E-06
2.9451,0,1.44E-06,-2.58E-06,4.82E-05
2.9451,2.5,1.04E-06,-2.41E-06,4.08E-05
2.9451,5,7.79E-07,-1.33E-06,3.50E-05
2.9451,7.5,5.34E-07,-2.34E-06,3.11E-05
2.9451,10,2.59E-07,-1.74E-06,2.82E-05
2.9451,12.5,2.73E-07,-1.78E-06,2.65E-05
2.9451,15,5.25E-07,-1.67E-07,2.49E-05
2.9451,17.5,-2.37E-08,-1.44E-06,2.35E-05
2.9451,20,3.76E-07,-1.60E-06,2.19E-05
2.9451,25,-1.79E-07,-1.32E-06,1.97E-05
2.9451,30,6.10E-08,-1.04E-06,1.74E-05
2.9451,35,3.01E-07,-5.22E-07,1.52E-05
2.9451,40,5.42E-07,-4.36E-10,1.39E-05
2.9451,45,9.44E-08,5.21E-07,1.26E-05
2.9451,50,-3.53E-07,7.55E-07,1.13E-05
2.9451,60,-8.00E-07,9.89E-07,9.39E-06
2.9451,70,-4.08E-07,1.22E-06,7.50E-06
2.9451,80,-1.62E-08,8.56E-07,5.62E-06
2.9451,90,3.76E-07,4.89E-07,4.54E-06
2.9451,100,1.82E-06,1.23E-07,3.46E-06
2.9961,0,3.26E-06,1.43E-07,5.44E-05
2.9961,2.5,4.04E-06,-1.04E-06,4.76E-05
2.9961,5,5.09E-06,7.17E-07,4.03E-05
2.9961,7.5,5.16E-06,-9.83E-07,3.58E-05
2.9961,10,4.88E-06,-7.88E-07,3.23E-05
2.9961,12.5,4.34E-06,-8.36E-07,2.93E-05
2.9961,15,4.00E-06,-9.13E-07,2.74E-05
2.9961,17.5,3.00E-06,8.01E-08,2.59E-05
2.9961,20,3.82E-06,4.84E-08,2.37E-05
2.9961,25,3.72E-06,3.49E-08,2.08E-05
2.9961,30,3.22E-06,2.14E-08,1.78E-05
2.9961,35,2.71E-06,1.88E-07,1.49E-05
2.9961,40,2.21E-06,3.54E-07,1.35E-05
2.9961,45,1.74E-06,5.21E-07,1.22E-05
2.9961,50,1.27E-06,6.74E-07,1.09E-05
2.9961,60,7.96E-07,8.26E-07,9.05E-06
2.9961,70,3.14E-09,9.79E-07,7.19E-06
2.9961,80,-7.90E-07,5.08E-07,5.32E-06
2.9961,90,-1.58E-06,3.72E-08,4.45E-06
2.9961,100,6.78E-07,-4.34E-07,3.57E-06
3.0361,0,1.49E-06,2.09E-06,4.39E-05
3.0361,2.5,2.27E-06,2.50E-06,3.77E-05
3.0361,5,3.50E-06,2.46E-06,3.12E-05
3.0361,7.5,3.76E-06,2.08E-06,2.79E-05
3.0361,10,4.40E-06,1.92E-06,2.46E-05
3.0361,12.5,4.11E-06,2.02E-06,2.24E-05
3.0361,15,3.27E-06,3.12E-06,2.08E-05
3.0361,17.5,3.09E-06,1.72E-06,1.95E-05
3.0361,20,3.17E-06,2.00E-06,1.84E-05
3.0361,25,1.67E-06,1.59E-06,1.57E-05
3.0361,30,1.14E-06,1.18E-06,1.30E-05
3.0361,35,6.15E-07,6.99E-07,1.02E-05
3.0361,40,8.73E-08,2.14E-07,8.70E-06
3.0361,45,-2.84E-07,-2.72E-07,7.15E-06
3.0361,50,-6.56E-07,-5.14E-07,5.61E-06
3.0361,60,-1.03E-06,-7.57E-07,4.19E-06
3.0361,70,-1.26E-06,-1.00E-06,2.78E-06
3.0361,80,-1.50E-06,-1.07E-06,1.36E-06
3.0361,90,-1.74E-06,-1.14E-06,8.24E-07
3.0361,100,9.02E-07,-1.20E-06,2.87E-07
3.0881,0,-1.32E-06,-6.45E-06,4.17E-05
3.0881,2.5,-1.15E-06,-6.35E-06,3.42E-05
3.0881,5,-5.78E-07,-6.27E-06,2.73E-05
3.0881,7.5,-2.87E-07,-5.50E-06,2.39E-05
3.0881,10,-2.74E-07,-5.95E-06,2.10E-05
3.0881,12.5,-5.70E-07,-5.33E-06,1.90E-05
3.0881,15,-2.11E-07,-4.53E-06,1.79E-05
3.0881,17.5,-1.27E-06,-5.51E-06,1.59E-05
3.0881,20,-6.78E-07,-5.48E-06,1.51E-05
3.0881,25,-1.17E-06,-4.35E-06,1.29E-05
3.0881,30,-1.22E-06,-3.22E-06,1.06E-05
3.0881,35,-1.26E-06,-2.75E-06,8.38E-06
3.0881,40,-1.31E-06,-2.29E-06,7.40E-06
3.0881,45,-1.49E-06,-1.82E-06,6.42E-06
3.0881,50,-1.66E-06,-1.18E-06,5.44E-06
3.0881,60,-1.83E-06,-5.52E-07,4.12E-06
3.0881,70,-2.47E-06,8.14E-08,2.81E-06
3.0881,80,-3.11E-06,1.73E-07,1.49E-06
3.0881,90,-3.75E-06,2.65E-07,6.54E-07
3.0881,100,1.70E-06,3.56E-07,-1.80E-07
3.1131,0,2.47E-06,-4.29E-06,4.59E-05
3.1131,2.5,2.51E-06,-5.36E-06,3.78E-05
3.1131,5,3.13E-06,-5.34E-06,3.04E-05
3.1131,7.5,3.24E-06,-4.77E-06,2.70E-05
3.1131,10,2.70E-06,-4.15E-06,2.39E-05
3.1131,12.5,2.96E-06,-3.96E-06,2.23E-05
3.1131,15,3.02E-06,-4.39E-06,2.07E-05
3.1131,17.5,2.49E-06,-3.47E-06,1.96E-05
3.1131,20,2.09E-06,-3.39E-06,1.82E-05
3.1131,25,2.09E-06,-2.54E-06,1.54E-05
3.1131,30,1.28E-06,-1.69E-06,1.26E-05
3.1131,35,4.70E-07,-1.72E-06,9.74E-06
3.1131,40,-3.39E-07,-1.75E-06,8.78E-06
3.1131,45,-1.68E-07,-1.78E-06,7.81E-06
3.1131,50,1.79E-09,-1.25E-06,6.85E-06
3.1131,60,1.72E-07,-7.25E-07,5.44E-06
3.1131,70,-7.12E-07,-1.98E-07,4.04E-06
3.1131,80,-1.60E-06,-9.40E-08,2.63E-06
3.1131,90,-2.48E-06,1.02E-08,2.49E-06
3.1131,100,1.01E-06,1.14E-07,2.35E-06
3.1661,0,-2.42E-07,-3.93E-07,4.79E-05
3.1661,2.5,-3.18E-08,-7.38E-08,4.05E-05
3.1661,5,3.13E-07,3.30E-07,2.92E-05
3.1661,7.5,6.01E-07,-1.40E-07,2.20E-05
3.1661,10,3.42E-07,4.35E-07,1.65E-05
3.1661,12.5,5.58E-07,-8.56E-08,1.35E-05
3.1661,15,6.10E-07,7.90E-09,1.15E-05
3.1661,17.5,1.29E-07,6.07E-08,1.02E-05
3.1661,20,3.24E-07,5.59E-07,9.17E-06
3.1661,25,1.63E-07,5.13E-07,7.69E-06
3.1661,30,6.94E-08,4.66E-07,6.21E-06
3.1661,35,-2.47E-08,3.47E-07,4.73E-06
3.1661,40,-1.19E-07,2.27E-07,4.20E-06
3.1661,45,-3.33E-07,1.07E-07,3.67E-06
3.1661,50,-5.46E-07,8.97E-08,3.15E-06
3.1661,60,-7.60E-07,7.24E-08,2.71E-06
3.1661,70,-9.78E-07,5.51E-08,2.28E-06
3.1661,80,-1.20E-06,-2.61E-07,1.84E-06
3.1661,90,-1.41E-06,-5.76E-07,1.60E-06
3.1661,100,4.70E-08,-8.92E-07,1.35E-06
3.1911,0,-7.38E-07,-2.10E-06,4.59E-05
3.1911,2.5,-7.01E-07,3.15E-07,3.87E-05
3.1911,5,-4.88E-07,-8.14E-07,2.81E-05
3.1911,7.5,-1.39E-07,-1.02E-06,2.09E-05
3.1911,10,-1.37E-07,-8.75E-07,1.55E-05
3.1911,12.5,6.63E-08,-8.38E-07,1.27E-05
3.1911,15,2.08E-07,-4.99E-07,1.05E-05
3.1911,17.5,-4.72E-07,-7.41E-07,9.22E-06
3.1911,20,-4.23E-08,-4.27E-08,8.18E-06
3.1911,25,1.10E-07,-2.71E-08,6.73E-06
3.1911,30,-1.73E-08,-1.15E-08,5.29E-06
3.1911,35,-1.45E-07,2.30E-08,3.84E-06
3.1911,40,-2.72E-07,5.74E-08,3.44E-06
3.1911,45,-1.72E-07,9.19E-08,3.04E-06
3.1911,50,-7.18E-08,-9.71E-08,2.64E-06
3.1911,60,2.85E-08,-2.86E-07,2.08E-06
3.1911,70,5.03E-08,-4.75E-07,1.53E-06
3.1911,80,7.20E-08,-5.83E-07,9.78E-07
3.1911,90,9.37E-08,-6.90E-07,1.22E-06
3.1911,100,2.78E-07,-7.98E-07,1.45E-06
3.2451,0,2.04E-06,-1.50E-06,5.05E-05
3.2451,2.5,2.27E-06,-4.69E-07,3.74E-05
3.2451,5,2.38E-06,9.23E-08,2.51E-05
3.2451,7.5,1.97E-06,5.62E-07,1.95E-05
3.2451,10,2.44E-06,3.78E-07,1.54E-05
3.2451,12.5,2.36E-06,1.28E-06,1.32E-05
3.2451,15,2.49E-06,1.13E-06,1.13E-05
3.2451,17.5,1.52E-06,1.38E-06,9.86E-06
3.2451,20,2.30E-06,1.72E-06,8.72E-06
3.2451,25,5.60E-07,1.32E-06,6.65E-06
3.2451,30,5.76E-09,9.17E-07,4.59E-06
3.2451,35,-5.48E-07,1.21E-06,2.52E-06
3.2451,40,-1.10E-06,1.51E-06,1.70E-06
3.2451,45,-9.68E-07,1.80E-06,8.75E-07
3.2451,50,-8.34E-07,1.63E-06,5.08E-08
3.2451,60,-7.00E-07,1.46E-06,-5.45E-07
3.2451,70,-1.02E-06,1.28E-06,-1.14E-06
3.2451,80,-1.33E-06,1.36E-06,-1.74E-06
3.2451,90,-1.65E-06,1.44E-06,-1.29E-06
3.2451,100,3.83E-06,1.52E-06,-8.39E-07
3.2711,0,5.50E-07,-3.21E-06,3.71E-05
3.2711,2.5,6.80E-07,-2.30E-06,2.55E-05
3.2711,5,8.88E-07,-1.18E-06,1.60E-05
3.2711,7.5,7.65E-07,-2.07E-06,1.07E-05
3.2711,10,8.56E-07,-1.72E-06,7.80E-06
3.2711,12.5,9.89E-07,-1.03E-06,6.37E-06
3.2711,15,9.47E-07,-1.08E-06,4.17E-06
3.2711,17.5,3.60E-07,-1.24E-06,3.51E-06
3.2711,20,1.16E-06,-7.39E-07,2.77E-06
3.2711,25,4.94E-07,-1.06E-06,1.22E-06
3.2711,30,5.03E-07,-1.38E-06,-3.44E-07
3.2711,35,5.12E-07,-1.13E-06,-1.90E-06
3.2711,40,5.20E-07,-8.73E-07,-2.22E-06
3.2711,45,1.73E-08,-6.20E-07,-2.54E-06
3.2711,50,-4.86E-07,-6.53E-07,-2.85E-06
3.2711,60,-9.89E-07,-6.87E-07,-2.69E-06
3.2711,70,-1.40E-06,-7.21E-07,-2.52E-06
3.2711,80,-1.81E-06,-1.02E-06,-2.35E-06
3.2711,90,-2.23E-06,-1.32E-06,-1.48E-06
3.2711,100,2.98E-06,-1.62E-06,-6.01E-07
3.3231,0,4.14E-06,1.84E-06,2.45E-05
3.3231,2.5,3.27E-06,1.62E-06,1.72E-05
3.3231,5,2.41E-06,1.61E-06,1.02E-05
3.3231,7.5,2.25E-06,1.42E-06,6.93E-06
3.3231,10,1.72E-06,1.21E-06,4.87E-06
3.3231,12.5,1.72E-06,8.49E-07,3.94E-06
3.3231,15,2.00E-06,1.40E-06,2.99E-06
3.3231,17.5,1.37E-06,1.19E-06,2.17E-06
3.3231,20,6.66E-07,1.27E-06,1.85E-06
3.3231,25,1.29E-06,1.01E-06,6.34E-07
3.3231,30,9.13E-07,7.54E-07,-5.83E-07
3.3231,35,5.39E-07,1.07E-06,-1.80E-06
3.3231,40,1.65E-07,1.38E-06,-1.88E-06
3.3231,45,1.86E-07,1.69E-06,-1.95E-06
3.3231,50,2.08E-07,1.10E-06,-2.03E-06
3.3231,60,2.30E-07,5.18E-07,-1.55E-06
3.3231,70,5.20E-08,-6.56E-08,-1.07E-06
3.3231,80,-1.26E-07,-1.52E-08,-5.89E-07
3.3231,90,-3.04E-07,3.49E-08,-4.67E-07
3.3231,100,1.96E-06,8.49E-08,-3.44E-07
3.3481,0,1.16E-06,1.41E-06,1.76E-05
3.3481,2.5,9.13E-07,1.54E-06,1.18E-05
3.3481,5,5.86E-07,1.68E-06,6.84E-06
3.3481,7.5,7.39E-07,1.93E-06,4.30E-06
3.3481,10,1.89E-07,1.43E-06,2.90E-06
3.3481,12.5,2.50E-08,1.32E-06,1.88E-06
3.3481,15,1.12E-07,9.86E-07,1.10E-06
3.3481,17.5,-3.97E-07,1.31E-06,6.91E-07
3.3481,20,-2.12E-07,1.39E-06,4.27E-07
3.3481,25,-9.07E-08,1.36E-06,-3.29E-07
3.3481,30,-4.82E-07,1.33E-06,-1.08E-06
3.3481,35,-8.73E-07,1.50E-06,-1.84E-06
3.3481,40,-1.26E-06,1.67E-06,-2.15E-06
3.3481,45,-1.34E-06,1.84E-06,-2.46E-06
3.3481,50,-1.42E-06,1.36E-06,-2.77E-06
3.3481,60,-1.49E-06,8.88E-07,-2.50E-06
3.3481,70,-1.38E-06,4.12E-07,-2.24E-06
3.3481,80,-1.27E-06,1.76E-07,-1.97E-06
3.3481,90,-1.16E-06,-6.11E-08,-2.24E-06
