Name,Field,Squid_x,Squid_y,Squid_z
12,20,-2.36E-06,1.93E-07,2.83E-05
12,25,-2.32E-06,-1.50E-07,2.53E-05
12,30,-2.68E-06,-9.77E-08,2.14E-05
12,35,-2.10E-06,-1.67E-07,1.89E-05
12,40,-1.70E-06,-2.26E-07,1.68E-05
12,45,-1.53E-06,-5.07E-07,1.48E-05
12,50,-1.84E-06,-3.87E-07,1.31E-05
12,60,-1.28E-06,-5.71E-07,1.02E-05
12,70,-4.46E-07,-1.41E-07,7.64E-06
12,80,-8.65E-07,3.11E-07,5.84E-06
12,90,-2.62E-07,1.17E-07,5.30E-06
12,100,-4.78E-07,-1.48E-08,3.95E-06
13,0,-5.98E-06,-2.12E-06,5.36E-05
13,5,-8.10E-06,-2.98E-06,4.83E-05
13,10,-6.98E-06,-3.93E-06,4.34E-05
13,15,-6.88E-06,-4.50E-06,3.96E-05
13,20,-5.89E-06,-3.50E-06,3.68E-05
13,25,-6.42E-06,-4.00E-06,3.33E-05
13,30,-4.26E-06,-2.60E-06,3.08E-05
13,35,-5.80E-06,-3.93E-06,2.84E-05
13,40,-3.20E-06,-2.23E-06,2.61E-05
13,45,-5.75E-06,-3.00E-06,2.34E-05
13,50,-4.87E-06,-2.86E-06,2.15E-05
13,60,-4.33E-06,-2.51E-06,1.72E-05
13,70,2.43E-07,-4.21E-07,1.30E-05
13,80,-3.50E-06,-1.85E-06,1.05E-05
13,90,7.85E-07,1.16E-06,8.11E-06
13,100,-1.70E-06,-1.86E-06,6.27E-06
14,0,-2.16E-06,2.22E-06,1.73E-05
14,5,-3.93E-06,2.34E-06,1.92E-05
14,10,-3.84E-06,1.76E-06,1.78E-05
14,15,-3.24E-06,1.09E-06,1.64E-05
14,20,-2.86E-06,9.72E-07,1.50E-05
14,25,-2.56E-06,1.22E-06,1.41E-05
14,30,-2.07E-06,1.21E-06,1.28E-05
14,35,-1.29E-06,1.27E-06,1.19E-05
14,40,-1.51E-06,6.77E-07,1.16E-05
14,45,-1.22E-06,7.94E-07,1.03E-05
14,50,-1.23E-06,1.04E-06,9.67E-06
14,60,-1.30E-06,6.07E-07,7.85E-06
14,70,-4.01E-07,2.60E-07,6.38E-06
14,80,8.01E-07,3.65E-08,5.07E-06
14,90,-1.83E-07,-4.99E-07,3.88E-06
14,100,5.28E-07,2.22E-07,2.90E-06
15,0,1.62E-05,-3.46E-06,1.77E-05
15,5,1.07E-05,-8.72E-07,1.30E-05
15,10,7.35E-06,7.58E-07,9.33E-06
15,15,6.34E-06,9.46E-07,7.09E-06
15,20,5.59E-06,9.68E-07,5.25E-06
15,25,5.22E-06,6.64E-07,3.85E-06
15,30,4.91E-06,5.82E-07,2.44E-06
15,35,4.18E-06,3.19E-07,1.24E-06
15,40,4.03E-06,-4.40E-08,2.55E-07
15,45,3.62E-06,-1.80E-08,-3.24E-07
15,50,3.41E-06,1.60E-07,-1.55E-06
15,60,2.70E-06,-9.90E-08,-2.31E-06
15,70,2.23E-06,-5.84E-08,-2.76E-06
15,80,1.94E-06,-3.95E-07,-2.89E-06
15,90,1.45E-06,-1.79E-07,-2.16E-06
15,100,1.29E-06,-1.91E-07,-2.54E-06
16,0,4.44E-05,-1.98E-05,-9.38E-06
16,5,2.66E-05,-1.35E-05,-7.74E-06
16,10,1.33E-05,-7.64E-06,-8.73E-06
16,15,8.14E-06,-5.41E-06,-9.57E-06
16,20,5.99E-06,-3.95E-06,-1.01E-05
16,25,5.09E-06,-3.25E-06,-1.01E-05
16,30,4.30E-06,-2.57E-06,-1.02E-05
16,35,3.87E-06,-2.45E-06,-9.95E-06
16,40,3.21E-06,-2.24E-06,-9.73E-06
16,45,2.92E-06,-1.85E-06,-9.80E-06
16,50,2.65E-06,-1.63E-06,-9.53E-06
16,60,1.81E-06,-1.12E-06,-8.77E-06
16,70,2.13E-06,-1.59E-06,-8.25E-06
16,80,1.86E-06,-1.43E-06,-7.11E-06
16,90,1.16E-06,-5.38E-07,-6.02E-06
16,100,1.12E-06,-3.69E-07,-4.94E-06
17,0,-4.34E-06,-3.26E-06,-4.95E-06
