Name,AF (mT),x (emu),y (emu),z (emu)
671,2.5,6.56E-06,-1.80E-06,2.98E-05
671,5,5.83E-06,-1.56E-06,2.18E-05
671,7.5,5.31E-06,-1.16E-06,1.74E-05
671,10,4.92E-06,-1.46E-06,1.43E-05
671,12.5,4.62E-06,-8.99E-07,1.29E-05
671,15,4.54E-06,-1.16E-06,1.12E-05
671,17.5,3.50E-06,-1.16E-06,1.04E-05
671,20,3.54E-06,-6.32E-07,9.73E-06
671,25,3.16E-06,-6.38E-07,8.41E-06
671,30,2.67E-06,-6.44E-07,7.09E-06
671,35,2.17E-06,-4.19E-07,5.77E-06
671,40,1.68E-06,-1.93E-07,5.16E-06
671,45,1.25E-06,3.23E-08,4.56E-06
671,50,8.12E-07,-3.39E-07,3.95E-06
671,60,3.79E-07,-7.11E-07,3.45E-06
671,70,8.72E-08,-1.08E-06,2.95E-06
671,80,-2.04E-07,-6.29E-07,2.45E-06
671,90,-4.96E-07,-1.76E-07,1.61E-06
671,100,-1.35E-07,2.77E-07,7.80E-07
672,0,1.19E-05,1.59E-06,5.02E-05
672,2.5,7.76E-06,-3.60E-07,4.31E-05
672,5,5.61E-06,1.23E-06,3.14E-05
672,7.5,4.96E-06,3.44E-07,2.48E-05
672,10,3.95E-06,-3.27E-07,2.04E-05
672,12.5,4.06E-06,-1.15E-07,1.84E-05
672,15,3.39E-06,-4.09E-07,1.60E-05
672,17.5,2.52E-06,-2.36E-07,1.43E-05
672,20,3.08E-06,3.34E-07,1.20E-05
672,25,2.54E-06,2.61E-07,1.00E-05
672,30,1.99E-06,1.87E-07,7.98E-06
672,35,1.43E-06,7.48E-07,5.95E-06
672,40,8.78E-07,1.31E-06,5.20E-06
672,45,5.59E-07,1.87E-06,4.46E-06
672,50,2.40E-07,1.83E-06,3.71E-06
672,60,-7.99E-08,1.79E-06,2.72E-06
672,70,-5.76E-07,1.75E-06,1.72E-06
672,80,-1.07E-06,1.38E-06,7.30E-07
672,90,-1.57E-06,1.01E-06,2.09E-07
672,100,2.68E-07,6.45E-07,-3.11E-07
674,0,1.26E-05,2.20E-06,6.68E-05
674,2.5,8.57E-06,5.31E-07,6.12E-05
674,5,6.60E-06,-1.04E-06,5.12E-05
674,7.5,5.48E-06,-9.80E-07,4.52E-05
674,10,4.31E-06,-1.07E-06,3.98E-05
674,12.5,4.06E-06,-1.55E-06,3.63E-05
674,15,4.22E-06,2.85E-07,3.42E-05
674,17.5,3.33E-06,-1.03E-06,3.14E-05
674,20,3.70E-06,-4.79E-07,2.97E-05
